YEAR,MAKE,MODEL,COLOR,INTERIOR,BODY,TOTAL_REVENUE,UNITS_SOLD,MONTH_SALE,AVG_PRICE,AVG_MILEAGE,MARKET_POSITION
2014,Chrysler,Town and Country,blue,black,Minivan,709000,36,Feb,19694.44,24293,Above Market
2014,Ford,F-150,—,gray,SuperCrew,706400,26,Jan,27169.23,17213,Above Market
2012,Ford,F-150,black,black,SuperCrew,706200,21,Feb,33628.57,42654,Above Market
2013,Ford,Escape,gray,gray,SUV,703400,46,Feb,15291.3,42191,Below Market
2012,Infiniti,G Sedan,gray,black,G Sedan,703100,40,May,17577.5,32329,Below Market
2013,Infiniti,G Sedan,gray,black,G Sedan,701500,34,Mar,20632.35,21029,Below Market
2012,Honda,Odyssey,silver,gray,Minivan,701450,38,Jan,18459.21,38754,Below Market
2012,,,black,black,,699750,34,Feb,20580.88,55463,Above Market
2012,Nissan,Maxima,black,black,Sedan,698900,45,Jan,15531.11,36827,Below Market
2012,Ford,F-150,white,gray,SuperCrew,697750,28,Feb,24919.64,53108,Above Market
2013,Hyundai,Sonata,silver,gray,Sedan,696900,53,Feb,13149.06,37397,Above Market
2013,Infiniti,G Sedan,gray,black,G Sedan,696850,30,Mar,23228.33,20357,Above Market
2013,Ford,Fusion,white,black,sedan,696602,57,Jun,12221.09,45837,Below Market
2013,Ford,Escape,gray,black,SUV,696401,40,Jan,17410.03,39692,Above Market
2014,Infiniti,Q50,gray,black,Sedan,695950,25,Feb,27838,14462,Below Market
2012,Toyota,Camry,gray,gray,sedan,694100,50,Jun,13882,33610,Above Market
2014,Jeep,Grand Cherokee,black,black,SUV,694100,21,Feb,33052.38,20571,Below Market
2013,Chevrolet,Equinox,black,black,SUV,694000,43,Jan,16139.53,45945,Above Market
2014,Nissan,Altima,black,black,Sedan,691950,41,Feb,16876.83,24850,Above Market
2013,Infiniti,G Sedan,white,gray,G Sedan,691300,29,Jan,23837.93,19769,Above Market
2014,Jeep,Grand Cherokee,white,black,suv,691200,20,Jun,34560,23509,Above Market
2012,Nissan,Maxima,white,black,Sedan,690600,38,Jan,18173.68,41358,Above Market
2012,Ford,Escape,gray,black,SUV,690300,42,Feb,16435.71,42723,Above Market
2011,Nissan,Rogue,black,black,SUV,690200,54,Jan,12781.48,40983,Below Market
2012,Honda,Accord,black,black,sedan,690000,49,Jun,14081.63,35277,Above Market
2011,Ford,F-150,white,gray,SuperCrew,688300,34,Feb,20244.12,76423,Below Market
2012,Honda,Accord,gray,gray,Sedan,687950,50,Jan,13759,32056,Above Market
2012,Honda,Accord,silver,black,Sedan,687100,49,Feb,14022.45,34956,Above Market
2013,Infiniti,G Coupe,black,black,G Coupe,686900,29,Feb,23686.21,19691,Below Market
2012,BMW,X5,black,black,SUV,686200,21,Feb,32676.19,45600,Below Market
2012,Nissan,Altima,black,black,Sedan,685550,61,Mar,11238.52,39494,Below Market
2012,BMW,5 Series,black,black,sedan,684250,26,Jun,26317.31,39378,Below Market
2014,Ford,Escape,—,black,SUV,684200,32,Feb,21381.25,26992,Above Market
2012,Mercedes-Benz,C-Class,black,black,Sedan,683250,31,Feb,22040.32,32053,Above Market
2013,Mercedes-Benz,S-Class,black,black,Sedan,683000,14,Jan,48785.71,20711,Below Market
2013,BMW,5 Series,gray,black,Sedan,682500,21,Feb,32500,31531,Below Market
2012,Honda,Civic,blue,gray,Sedan,679600,65,Jan,10455.38,35252,Below Market
2012,Nissan,Rogue,black,black,SUV,678500,48,Jan,14135.42,37573,Below Market
2013,Ford,Escape,white,black,SUV,678400,36,Jan,18844.44,28890,Above Market
2012,Honda,Accord,black,black,Sedan,677400,52,Feb,13026.92,33681,Below Market
2014,Ford,F-150,—,gray,SuperCrew,676700,26,Feb,26026.92,23301,Above Market
2012,BMW,5 Series,gray,black,Sedan,674850,25,May,26994,41600,Below Market
2012,Honda,Accord,gray,black,Sedan,672800,56,Feb,12014.29,38052,Below Market
2012,Jeep,Grand Cherokee,black,black,SUV,672800,24,Jan,28033.33,34578,Above Market
2013,Ford,Edge,white,black,SUV,671400,28,Jan,23978.57,26154,Above Market
2014,Chrysler,300,black,black,sedan,670200,32,Jun,20943.75,22852,Below Market
2013,Mercedes-Benz,GLK-Class,black,black,SUV,669700,25,Feb,26788,30385,Below Market
2013,Chevrolet,Cruze,silver,black,Sedan,669051,58,Feb,11535.36,47634,Above Market
2013,Ford,Fusion,white,black,sedan,668450,47,Jun,14222.34,40108,Above Market
2013,Ford,Explorer,gray,black,suv,668200,26,Jun,25700,41480,Above Market
2012,Nissan,Altima,gray,black,sedan,666900,65,Jun,10260,42429,Below Market
2014,BMW,3 Series,black,black,Sedan,666450,20,Jan,33322.5,8162,Below Market
2014,Ford,E-Series Wagon,white,gray,Van,666100,32,May,20815.63,27910,Below Market
2012,,,gray,black,,666050,18,Feb,37002.78,41170,Below Market
2014,Chrysler,300,white,black,sedan,665850,30,Jun,22195,23931,Above Market
2014,Chrysler,Town and Country,red,black,Minivan,664700,36,Feb,18463.89,26069,Below Market
2013,Ford,Edge,silver,black,SUV,662100,32,Feb,20690.63,37540,Above Market
2012,Toyota,Camry,silver,gray,sedan,661300,45,Jun,14695.56,28421,Above Market
2014,BMW,3 Series,gray,black,Sedan,661250,19,Jan,34802.63,6365,Above Market
2012,Ford,Fusion,gray,black,Sedan,661150,56,Feb,11806.25,51539,Above Market
2014,Subaru,Outback,blue,black,Wagon,660400,27,Feb,24459.26,12288,Above Market
2014,Toyota,Camry,gray,black,Sedan,659500,42,Jan,15702.38,18202,Below Market
2012,Nissan,Maxima,black,black,Sedan,658800,35,Mar,18822.86,37691,Above Market
2013,Ford,Escape,silver,black,SUV,658800,38,Jan,17336.84,33270,Above Market
2013,Infiniti,G Sedan,gray,black,G Sedan,658600,30,Dec,21953.33,22221,Below Market
2013,Hyundai,Sonata,gray,gray,Sedan,658600,55,Feb,11974.55,39977,Below Market
2014,Ford,F-150,white,gray,Regular Cab,658500,36,May,18291.67,11247,Above Market
2014,Chrysler,300,black,black,Sedan,658200,29,Jan,22696.55,25638,Above Market
2014,Dodge,Charger,gray,black,Sedan,657800,34,May,19347.06,20387,Below Market
2012,Infiniti,G Sedan,white,black,G Sedan,657050,32,Feb,20532.81,35776,Above Market
2013,Ford,Edge,black,black,suv,656850,30,Jun,21895,35026,Above Market
2014,Ford,F-150,white,gray,SuperCrew,656700,25,Jan,26268,17431,Below Market
2014,GMC,Savana Cargo,white,gray,Van,655600,34,May,19282.35,9828,Below Market
2012,Nissan,Altima,gray,black,sedan,654850,53,Jun,12355.66,40824,Above Market
2014,Dodge,Grand Caravan,black,black,Minivan,653850,38,Jan,17206.58,23623,Below Market
2012,Acura,TL,black,black,Sedan,653650,31,Feb,21085.48,37293,Above Market
2012,BMW,X5,white,black,SUV,652950,18,Feb,36275,40558,Above Market
2013,Ford,Escape,white,gray,SUV,652900,40,Jan,16322.5,36276,Above Market
2015,Chevrolet,Suburban,black,black,SUV,652650,13,Feb,50203.85,18225,Above Market
2014,Jeep,Wrangler,black,black,SUV,652050,23,Feb,28350,12868,Below Market
2014,Chrysler,300,white,black,Sedan,651600,29,Feb,22468.97,20239,Above Market
2013,Mercedes-Benz,E-Class,black,black,Sedan,651600,21,Jan,31028.57,23301,Above Market
2012,,,black,black,,651500,18,Jun,36194.44,41367,Below Market
2013,Mercedes-Benz,C-Class,black,black,sedan,650900,29,Jun,22444.83,21122,Below Market
2012,Infiniti,M,black,black,Sedan,649550,25,Feb,25982,37998,Above Market
2012,Infiniti,M,gray,black,Sedan,648350,28,Feb,23155.36,44096,Below Market
2013,Nissan,Altima,—,black,Sedan,648250,43,Jan,15075.58,26341,Above Market
2012,Ford,F-150,white,black,SuperCrew,647550,19,Feb,34081.58,42436,Above Market
2012,Ford,Fusion,—,black,Sedan,647300,53,Jan,12213.21,45604,Above Market
2013,Ford,E-Series Van,white,gray,E-Series Van,645700,39,Jan,16556.41,41629,Below Market
2014,GMC,Savana Cargo,white,gray,Van,645500,29,Jan,22258.62,7917,Below Market
2012,Acura,TL,black,black,Sedan,645200,31,Jan,20812.9,36432,Above Market
2013,Chevrolet,Cruze,white,black,Sedan,644951,64,Feb,10077.36,48110,Below Market
2014,Dodge,Charger,black,black,Sedan,644900,30,Feb,21496.67,22425,Above Market
2012,Infiniti,M,black,black,Sedan,644700,27,Jan,23877.78,42542,Below Market
2014,Chrysler,Town and Country,gold,black,Minivan,643100,35,Feb,18374.29,24934,Below Market
2014,Ford,Fusion,—,black,Sedan,642800,44,May,14609.09,28200,Below Market
2014,Jeep,Grand Cherokee,white,black,SUV,642300,19,Feb,33805.26,22253,Above Market
2013,Nissan,Altima,gray,black,sedan,641701,48,Jun,13368.77,38142,Above Market
2014,Dodge,Charger,gray,black,Sedan,641350,33,Feb,19434.85,21524,Above Market
2011,Nissan,Maxima,white,black,Sedan,639400,42,Jan,15223.81,39506,Below Market
2012,BMW,X5,black,black,SUV,639250,19,Jan,33644.74,43400,Below Market
2011,Infiniti,G Sedan,gray,black,G Sedan,639000,34,Feb,18794.12,38489,Above Market
